A_ck_rank,A_ck_s1,A_ck_s2,A_ck_std,bayes_risk_excess_mean,beta,beta_gap,beta_times_lambda_class,beta_times_lambda_free,beta_times_lambda_trans,cost_gap_mean,instability_class,instability_free,instability_trans,mean_expert_mse,oracle_best_mse,oracle_class_mi_norm,oracle_usage_entropy,posterior_acc,posterior_ce,rho,risk_margin_mean,risk_margin_p95,soft_oracle_mse,t,teacher_entropy_norm
3.0,0.09273824095726013,0.09199101477861404,0.033728763461112976,0.0,106.17766627870527,4.138429164886475,1.0,1.1315529300314753,0.019305978429082667,0.038976456969976425,1.0,1.0,0.0,0.052438609302043915,0.01346215046942234,0.49862139346046086,0.9992867708206177,0.765999972820282,0.6111554503440857,2.0,0.006081539671868086,0.021777799353003502,0.015041372738778591,1.7,0.3858339786529541
4.0,6.951486053452527e-09,3.013823191011511e-09,1.8896135767221267e-09,0.0,39.188424415893685,4.964877575730497e-07,0.25,0.2839419048489416,0.0037944415285824573,1.2669246096663755e-08,0.0,0.0,0.0,0.018485767766833305,0.01848575659096241,0.008137836265679842,0.9995325207710266,0.6413333415985107,0.8958922624588013,0.5,5.730738106279887e-10,1.862645149230957e-09,0.018485767766833305,2.0,1.0
3.0,0.018423903733491898,0.01604788564145565,0.007480292581021786,0.0,78.37684883178737,0.6375584602355957,0.5,0.5678838096978832,0.0075888830571649146,0.008134525269269943,0.0,1.0,0.0,0.02078925259411335,0.012654728256165981,0.20046052752943638,0.9996931552886963,0.6413333415985107,0.8958922624588013,1.0,0.001113645383156836,0.0030914503149688244,0.016639357432723045,2.0,0.8968093395233154
3.0,0.04746817797422409,0.04664851725101471,0.01719573885202408,0.0,156.75369766357474,3.4596478939056396,1.0,1.1357676193957664,0.015177766114329829,0.02207059971988201,1.0,1.0,0.0,0.030536068603396416,0.008465470746159554,0.48686429815268983,0.9983709454536438,0.6413333415985107,0.8958922624588013,2.0,0.0038255024701356888,0.010743009857833385,0.00971402507275343,2.0,0.378917396068573
4.0,3.6067677733342407e-09,2.0866328664936873e-09,1.060168064448419e-09,0.0,64.51745199098917,7.253774469972996e-07,0.24999999999999997,0.28099924188787884,0.0034229580761954053,1.1243120212611757e-08,0.0,0.0,0.0,0.011274509131908417,0.011274498887360096,0.004540315028536527,0.9998380541801453,0.5273333191871643,1.0966702699661255,0.5,4.737327197190666e-10,9.313225746154785e-10,0.011274509131908417,2.3,1.0
3.0,0.011287256143987179,0.009333675727248192,0.0037921539042145014,0.0,129.03490398197835,0.6983101963996887,0.49999999999999994,0.5619984837757577,0.0068459161523908105,0.005411793477833271,0.0,1.0,0.0,0.01263145450502634,0.0072196610271930695,0.4462891055620552,0.9905554056167603,0.5273333191871643,1.0966702699661255,1.0,0.0008618311840109527,0.0021376321092247963,0.010188914835453033,2.3,0.8929334282875061
3.0,0.029637861996889114,0.016748806461691856,0.009778882376849651,0.0,258.0698079639567,3.6861345767974854,0.9999999999999999,1.1239969675515153,0.013691832304781621,0.014283479191362858,1.0,1.0,0.0,0.018958361819386482,0.004674884025007486,0.6203551910802161,0.9992775917053223,0.5273333191871643,1.0966702699661255,2.0,0.002897462109103799,0.010186848230659962,0.0053196316584944725,2.3,0.2760566473007202
4.0,4.860480906643261e-09,2.9169551218899414e-09,1.5208434511748692e-09,0.0,111.3002543521711,1.272775762117817e-06,0.25,0.276796977668464,0.00321794330347786,1.1435515645530359e-08,0.0,0.0,0.0,0.006681705359369516,0.006681694183498621,0.0053854302096490265,0.9990196824073792,0.437666654586792,1.2313541173934937,0.5,4.5107056978466176e-10,1.3969838619232178e-09,0.006681705359369516,2.6,1.0
3.0,0.00569208012893796,0.005193314049392939,0.0019996431656181812,0.0,222.6005087043422,0.7026044726371765,0.5,0.553593955336928,0.00643588660695572,0.0031563472002744675,0.0,1.0,0.0,0.007454451639205217,0.0042981053702533245,0.4077291942421575,0.9947097301483154,0.437666654586792,1.2313541173934937,1.0,0.0004184159042779356,0.001022727694362402,0.006050665397197008,2.6,0.8937130570411682
3.0,0.01224464364349842,0.011858101934194565,0.004413239192217588,0.0,445.2010174086844,3.072312116622925,1.0,1.107187910673856,0.01287177321391144,0.006900954991579056,1.0,1.0,0.0,0.010041939094662666,0.0031409841030836105,0.4868944017654785,0.9995326995849609,0.437666654586792,1.2313541173934937,2.0,0.0009046573541127145,0.002211709041148424,0.0036663138307631016,2.6,0.36539289355278015
4.0,2.8780597904898286e-09,2.442346547226748e-09,9.87702364341203e-10,0.0,248.50791678769104,2.5148190161417006e-06,0.25,0.2684415108007744,0.0033333694809269446,1.0119673099495685e-08,0.0,0.0,0.0,0.003202078863978386,0.0032020683865994215,0.006331067711345859,0.9994186758995056,0.3786666691303253,1.3088977336883545,0.5,2.808713539526053e-10,6.984919309616089e-10,0.003202078863978386,3.0,1.0
3.0,0.002446164144203067,0.0019185100682079792,0.000895931851118803,0.0,497.0158335753821,0.7870199084281921,0.5,0.5368830216015488,0.006666738961853889,0.0015834906371310353,0.0,1.0,0.0,0.0035974043421447277,0.002013913821429014,0.5862147019092109,0.9995800256729126,0.3786666691303253,1.3088977336883545,1.0,0.00021149420354049653,0.0005518613033927977,0.0028817569836974144,3.0,0.8793219327926636
3.0,0.006749290507286787,0.0038236400578171015,0.0022203843109309673,0.0,994.0316671507642,3.8010482788085938,1.0,1.0737660432030975,0.013333477923707778,0.003823870327323675,1.0,1.0,0.0,0.005156347993761301,0.0013324778992682695,0.6523337477879944,0.9998016357421875,0.3786666691303253,1.3088977336883545,2.0,0.000412370398407802,0.0010524617973715067,0.00149498600512743,3.0,0.21490439772605896
