t,tau,R_eff,rho,alpha,beta_scaled,beta,beta_glass_gauss,beta_glass_exact,beta_inf_gauss,beta_inf_exact,entropy_density,free_energy,mean_energy_density,theory_entropy_density_liquid
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,0.5857142857142859,309.1201757356211,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.09785709938425172,0.0001782003034386233,0.0004947668269642349,0.07802074303975112
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,0.7142857142857144,376.9758240678306,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.08993386149626686,0.00023305513329433227,0.00047162178864590935,0.0581701718842506
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,0.842857142857143,444.8314724000401,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.08163141167695429,0.0002678659969947921,0.00045137686963273927,0.034393114126563165
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,0.9714285714285715,512.6871207322496,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.07333015543693103,0.0002909729055554513,0.00043400391310679495,0.006689569766688797
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,1.1,580.5427690644591,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.06539636551031239,0.00030681386867432466,0.00041946080701393774,0.0
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,1.2285714285714286,648.3984173966686,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.05810981759854863,0.00031795874443824355,0.00040757928643749854,0.0
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,1.3571428571428572,716.2540657288781,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.05162005503707786,0.00032598062679008936,0.00039805010256269526,0.0
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,1.4857142857142858,784.1097140610876,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.04595796589669865,0.00033187748151552,0.00039048913377866,0.0
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,1.6142857142857143,851.965362393297,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.041076609921638044,0.00033629833112142017,0.00038451227470974616,0.0
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,1.742857142857143,919.8210107255067,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.0368908674790822,0.0003396738340765158,0.00037978040595182513,0.0
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,1.8714285714285717,987.6766590577162,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.03330423762972573,0.00034229505068161776,0.0003760148286315182,0.0
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,2.0,1055.5323073899256,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.030223580582297647,0.0003443622069839286,0.000372995703439412,0.0
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,0.2,32.929871245751904,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.1157147675673496,-0.0016438583293492352,0.0018701173768958137,0.11401353689313123
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,0.3285714285714286,54.09907418944956,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.11112676694383279,-0.00028994581807271206,0.0017641885383615206,0.10594242554419145
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,0.4571428571428572,75.26827713314721,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.10504149085131871,0.00027425038519993903,0.0016698116342704291,0.09394482759306476
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,0.5857142857142859,96.43748007684488,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.09785709938425168,0.0005712022864055997,0.0015859229044295838,0.07802074303975112
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,0.7142857142857144,117.60668302054252,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.0899338614962669,0.000747033660591576,0.0015117339241009042,0.0581701718842506
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,0.842857142857143,138.77588596424016,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.08163141167695429,0.0008586162143457839,0.0014468409704679614,0.034393114126563165
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,0.9714285714285715,159.94508890793782,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.07333015543693103,0.0009326829737559868,0.001391153789819235,0.006689569766688797
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,1.1,181.11429185163547,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.06539636551031235,0.0009834595110444527,0.0013445373964047285,0.0
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,1.2285714285714286,202.28349479533313,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.05810981759854859,0.0010191832353884434,0.0013064524347729165,0.0
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,1.3571428571428572,223.45269773903075,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.051620055037077964,0.0010448965335828498,0.0012759076404497032,0.0
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,1.4857142857142858,244.6219006827284,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.045957965896698615,0.0010637982797458566,0.0012516717521063934,0.0
0.85,0.046415888336127795,0.0008563413215646574,0.02926331016075689,0.11876410093034503,1.6142857142857143,265.79110362642604,164.6493562287595,281.39055192224123,4.818185179091139,8.23441899720711,0.041076609921637995,0.001077968847101906,0.0012325135604545844,0.0
