beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,step,teacher_entropy_usage,usage_0,usage_1,usage_2,usage_3
80.0,80.0,80.0,0.013076734729111195,0.01307665929198265,0.01307673379778862,1.0,7000,1.0,0.2500000298023224,0.24999994039535522,0.2500000298023224,0.25
80.0,80.0,80.0,0.015017462894320488,0.015017400495707989,0.015017462894320488,1.0,7500,1.0,0.24999995529651642,0.2500000298023224,0.25,0.25
80.0,80.0,80.0,0.014850004576146603,0.014849958010017872,0.014850003644824028,1.0,8000,1.0,0.2500000596046448,0.2499999701976776,0.25,0.2499999850988388
80.0,80.0,80.0,0.012561985291540623,0.012561955489218235,0.012561984360218048,1.0,8500,1.0,0.2499999701976776,0.25,0.2500000298023224,0.25
80.0,80.0,80.0,0.012752123177051544,0.012752100825309753,0.012752123177051544,1.0,9000,1.0,0.2499999850988388,0.25,0.2500000298023224,0.2499999701976776
80.0,80.0,80.0,0.013336319476366043,0.0133363027125597,0.013336319476366043,1.0,9500,1.0,0.2499999850988388,0.2499999701976776,0.2500000596046448,0.25
80.0,80.0,80.0,0.013265818357467651,0.013265803456306458,0.013265818357467651,1.0,10000,1.0,0.2499999701976776,0.2499999850988388,0.2500000298023224,0.25
80.0,80.0,80.0,0.014836689457297325,0.01483667828142643,0.014836689457297325,1.0,10500,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.013218015432357788,0.013218007981777191,0.013218015432357788,1.0,11000,1.0,0.2499999701976776,0.25,0.25,0.2499999850988388
80.0,80.0,80.0,0.013192899525165558,0.01319289393723011,0.013192899525165558,1.0,11500,1.0,0.25,0.2500000298023224,0.2499999701976776,0.25
80.0,80.0,80.0,0.013182387687265873,0.013182383961975574,0.013182388618588448,1.0,12000,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.01358005404472351,0.013580051250755787,0.01358005404472351,1.0,12500,1.0,0.2499999850988388,0.25,0.25,0.25
80.0,80.0,80.0,0.014473128132522106,0.014473125338554382,0.014473127201199532,1.0,13000,1.0,0.25,0.25,0.2499999850988388,0.25
80.0,80.0,80.0,0.013711884617805481,0.013711882755160332,0.013711884617805481,1.0,13500,1.0,0.25,0.25,0.2499999850988388,0.25
80.0,80.0,80.0,0.013272574171423912,0.013272572308778763,0.013272574171423912,1.0,14000,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.012886697426438332,0.012886696495115757,0.012886697426438332,1.0,14500,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.013028355315327644,0.01302835438400507,0.013028356246650219,1.0,15000,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.014515222981572151,0.014515221118927002,0.014515221118927002,1.0,15500,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.013471711426973343,0.013471709564328194,0.013471711426973343,1.0,16000,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.011555470526218414,0.011555468663573265,0.011555470526218414,1.0,16500,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.013640770688652992,0.013640769757330418,0.013640770688652992,1.0,17000,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.011719238013029099,0.01171923615038395,0.011719238013029099,1.0,17500,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.013731509447097778,0.013731508515775204,0.013731510378420353,1.0,18000,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.013251685537397861,0.013251685537397861,0.013251685537397861,1.0,18500,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.013252724893391132,0.013252723030745983,0.013252723962068558,1.0,19000,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.013452126644551754,0.013452124781906605,0.01345212571322918,1.0,19500,1.0,0.25,0.25,0.25,0.25
