acc,beta,beta_theory,dataset,ece,feature_mode,mult,nll,t
0.8259999752044678,1287.2138249311718,351.4560556897473,cifar10,0.07835245132446289,pca,3.6625171314944636,0.5013896822929382,0.85
0.8230000138282776,1422.388924704559,351.4560556897473,cifar10,0.08977734297513962,pca,4.047131644703236,0.5354439616203308,0.85
0.8230000138282776,1571.7592632524545,351.4560556897473,cifar10,0.09760139882564545,pca,4.472135954999582,0.5752530097961426,0.85
0.8209999799728394,1736.8155352679105,351.4560556897473,cifar10,0.10717081278562546,pca,4.941771544836059,0.6212767362594604,0.85
0.8190000057220459,1919.204978824705,351.4560556897473,cifar10,0.11563405394554138,pca,5.460725310474974,0.6740255355834961,0.85
0.8174999952316284,2120.747814578574,351.4560556897473,cifar10,0.12508785724639893,pca,6.034176336545168,0.734065592288971,0.85
0.8165000081062317,2343.455411309971,351.4560556897473,cifar10,0.131551131606102,pca,6.667847582568585,0.8020264506340027,0.85
0.8149999976158142,2589.550359097878,351.4560556897473,cifar10,0.13719847798347473,pca,7.368062997280774,0.8786088824272156,0.85
0.8140000104904175,2861.488650452064,351.4560556897473,cifar10,0.14274007081985474,pca,8.141810630738094,0.9645955562591553,0.85
0.8134999871253967,3161.984190768339,351.4560556897473,cifar10,0.14778372645378113,pca,8.996812374061422,1.0608571767807007,0.85
0.8119999766349792,3494.0358827176865,351.4560556897473,cifar10,0.1552627682685852,pca,9.941601022809222,1.1683635711669922,0.85
0.8105000257492065,3860.9575548675416,351.4560556897473,cifar10,0.15935228765010834,pca,10.985605433061183,1.2881935834884644,0.85
0.8100000023841858,4266.411033218691,351.4560556897473,cifar10,0.16124017536640167,pca,12.139244620058346,1.421547532081604,0.85
0.8084999918937683,4714.442685706931,351.4560556897473,cifar10,0.1637175977230072,pca,13.414031738490433,1.5697582960128784,0.85
0.8069999814033508,5209.523804378434,351.4560556897473,cifar10,0.16743861138820648,pca,14.82268898213896,1.734307050704956,0.85
0.8065000176429749,5756.59522824723,351.4560556897473,cifar10,0.1722823977470398,pca,16.37927454955832,1.916834831237793,0.85
0.8059999942779541,6361.116652164449,351.4560556897473,cifar10,0.1730286180973053,pca,18.099322942893927,2.1191656589508057,0.85
0.8040000200271606,7029.121113794946,351.4560556897473,cifar10,0.17671997845172882,pca,20.0,2.3433167934417725,0.85
0.6420000195503235,28.980798536767523,579.6159707353504,cifar10,0.05714014172554016,pca,0.05,0.6381953358650208,1.1
0.6445000171661377,32.02417972009925,579.6159707353504,cifar10,0.05784693732857704,pca,0.05525068551763788,0.6361060738563538,1.1
0.6495000123977661,35.38715765351041,579.6159707353504,cifar10,0.06241089478135109,pca,0.06105276500337841,0.6338104009628296,1.1
0.6545000076293945,39.103294377543506,579.6159707353504,cifar10,0.06267372518777847,pca,0.06746414238367815,0.6312894821166992,1.1
0.6579999923706055,43.20967640714548,579.6159707353504,cifar10,0.07030701637268066,pca,0.07454880229115493,0.6285232901573181,1.1
0.6635000109672546,47.747284849801844,579.6159707353504,cifar10,0.07837884873151779,pca,0.08237744862210328,0.6254903078079224,1.1
0.6694999933242798,52.761404391149554,579.6159707353504,cifar10,0.08425707370042801,pca,0.09102821015130401,0.6221674680709839,1.1
0.6765000224113464,58.30207522968645,579.6159707353504,cifar10,0.08594658970832825,pca,0.10058742024606301,0.6185309886932373,1.1
0.684499979019165,64.42459247082142,579.6159707353504,cifar10,0.09103833138942719,pca,0.11115047846091416,0.6145554184913635,1.1
0.6949999928474426,71.1900579641467,579.6159707353504,cifar10,0.09860999882221222,pca,0.12282280261157902,0.6102147102355957,1.1
0.7059999704360962,78.66599009118964,579.6159707353504,cifar10,0.1084306389093399,pca,0.13572088082974532,0.6054816246032715,1.1
0.7164999842643738,86.92699758923874,579.6159707353504,cifar10,0.11751235276460648,pca,0.14997343409802133,0.6003290414810181,1.1
0.7269999980926514,96.05552413590993,579.6159707353504,cifar10,0.12632198631763458,pca,0.16572270086699936,0.5947294235229492,1.1
0.7335000038146973,106.14267112530068,579.6159707353504,cifar10,0.13084915280342102,pca,0.1831258565747231,0.5886566042900085,1.1
0.7450000047683716,117.28910684692103,579.6159707353504,cifar10,0.1400277316570282,pca,0.20235658223516173,0.5820850133895874,1.1
0.7544999718666077,129.60607114087722,579.6159707353504,cifar10,0.14679737389087677,pca,0.22360679774997896,0.5749920606613159,1.1
0.765999972820282,143.21648555562422,579.6159707353504,cifar10,0.1550864428281784,pca,0.24708857724180294,0.5673588514328003,1.1
0.7764999866485596,158.25618008750246,579.6159707353504,cifar10,0.16180026531219482,pca,0.27303626552374866,0.5591711401939392,1.1
0.7864999771118164,174.87524874474525,579.6159707353504,cifar10,0.16740861535072327,pca,0.30170881682725814,0.5504220128059387,1.1
0.796500027179718,193.23954746429237,579.6159707353504,cifar10,0.17235080897808075,pca,0.33339237912842906,0.5411131381988525,1.1
0.8050000071525574,213.53234933040554,579.6159707353504,cifar10,0.175017312169075,pca,0.36840314986403866,0.5312578082084656,1.1
0.8100000023841858,235.9561736139326,579.6159707353504,cifar10,0.1733277142047882,pca,0.4070905315369044,0.5208831429481506,1.1
0.8199999928474426,260.73480688577115,579.6159707353504,cifar10,0.17566820979118347,pca,0.44984061870307107,0.5100330710411072,1.1
0.828499972820282,288.1155363749557,579.6159707353504,cifar10,0.17563335597515106,pca,0.4970800511404606,0.4987715184688568,1.1
0.8349999785423279,318.3716178599648,579.6159707353504,cifar10,0.1727561354637146,pca,0.549280271653059,0.4871853291988373,1.1
0.8410000205039978,351.80500272244984,579.6159707353504,cifar10,0.1685548573732376,pca,0.6069622310029172,0.4753871560096741,1.1
0.8429999947547913,388.7493513789964,579.6159707353504,cifar10,0.15953119099140167,pca,0.6707015869245212,0.4635177552700043,1.1
0.8450000286102295,429.5733631645327,579.6159707353504,cifar10,0.14971868693828583,pca,0.7411344491069478,0.4517473578453064,1.1
0.847000002861023,474.68445589915297,579.6159707353504,cifar10,0.13918405771255493,pca,0.8189637274779156,0.4402768611907959,1.1
0.843500018119812,524.532831859903,579.6159707353504,cifar10,0.12242520600557327,pca,0.9049661471446963,0.42933619022369385,1.1
0.8429999947547913,579.6159707353504,579.6159707353504,cifar10,0.10811977088451385,pca,1.0,0.4191826581954956,1.1
0.840499997138977,640.483594401985,579.6159707353504,cifar10,0.09134875237941742,pca,1.1050137103527577,0.41009703278541565,1.1
0.8364999890327454,707.7431530702082,579.6159707353504,cifar10,0.0727558508515358,pca,1.2210553000675683,0.40237805247306824,1.1
0.8330000042915344,782.0658875508706,579.6159707353504,cifar10,0.056708335876464844,pca,1.3492828476735637,0.3963376581668854,1.1
0.8314999938011169,864.1935281429102,579.6159707353504,cifar10,0.041485127061605453,pca,1.4909760458230996,0.3922940790653229,1.1
0.8309999704360962,954.945696996037,579.6159707353504,cifar10,0.0360289104282856,pca,1.6475489724420658,0.3905668258666992,1.1
0.828000009059906,1055.2280878229913,579.6159707353504,cifar10,0.027821969240903854,pca,1.8205642030260805,0.3914722502231598,1.1
0.8274999856948853,1166.041504593729,579.6159707353504,cifar10,0.02853592298924923,pca,2.0117484049212604,0.3953213393688202,1.1
0.8270000219345093,1288.491849416429,579.6159707353504,cifar10,0.03597547113895416,pca,2.2230095692182843,0.4024195075035095,1.1
0.8240000009536743,1423.801159282935,579.6159707353504,cifar10,0.04002907872200012,pca,2.456456052231582,0.41306793689727783,1.1
0.8234999775886536,1573.3198018237931,579.6159707353504,cifar10,0.05267277732491493,pca,2.7144176165949068,0.42756712436676025,1.1
0.8205000162124634,1738.5399517847752,579.6159707353504,cifar10,0.06309903413057327,pca,2.9994686819604275,0.44622427225112915,1.1
0.8190000057220459,1921.110482718199,579.6159707353504,cifar10,0.0740673840045929,pca,3.3144540173399877,0.46935394406318665,1.1
0.8165000081062317,2122.8534225060143,579.6159707353504,cifar10,0.08652651309967041,pca,3.6625171314944636,0.4972923994064331,1.1
0.8144999742507935,2345.7821369384214,579.6159707353504,cifar10,0.09647693485021591,pca,4.047131644703236,0.5303989052772522,1.1
0.8140000104904175,2592.1214228175463,579.6159707353504,cifar10,0.10602498054504395,pca,4.472135954999582,0.5690646171569824,1.1
0.8125,2864.3297111124843,579.6159707353504,cifar10,0.11520233750343323,pca,4.941771544836059,0.6137199997901917,1.1
0.8105000257492065,3165.1236017500496,579.6159707353504,cifar10,0.12201695144176483,pca,5.460725310474974,0.6648408770561218,1.1
0.8100000023841858,3497.504974894908,579.6159707353504,cifar10,0.12843526899814606,pca,6.034176336545168,0.7229574918746948,1.1
0.8090000152587891,3864.79094928585,579.6159707353504,cifar10,0.1348104327917099,pca,6.667847582568585,0.7886607050895691,1.1
0.8090000152587891,4270.646986608111,579.6159707353504,cifar10,0.1396527886390686,pca,7.368062997280774,0.8626118898391724,1.1
0.8084999918937683,4719.123472278656,579.6159707353504,cifar10,0.14451882243156433,pca,8.141810630738094,0.9455496072769165,1.1
0.8080000281333923,5214.696137715424,579.6159707353504,cifar10,0.14900411665439606,pca,8.996812374061422,1.038300633430481,1.1
0.8065000176429749,5762.31072749912,579.6159707353504,cifar10,0.15417888760566711,pca,9.941601022809222,1.1417903900146484,1.1
0.8065000176429749,6367.432357199297,579.6159707353504,cifar10,0.15755979716777802,pca,10.985605433061183,1.2570490837097168,1.1
0.8059999942779541,7036.100054448998,579.6159707353504,cifar10,0.16113635897636414,pca,12.139244620058346,1.385227918624878,1.1
0.8059999942779541,7774.987027579932,579.6159707353504,cifar10,0.16396546363830566,pca,13.414031738490433,1.5276105403900146,1.1
0.8054999709129333,8591.467263290657,579.6159707353504,cifar10,0.16707797348499298,pca,14.82268898213896,1.6856228113174438,1.1
0.8054999709129333,9493.689117983065,579.6159707353504,cifar10,0.1695040464401245,pca,16.37927454955832,1.860849142074585,1.1
0.8065000176429749,10490.656637198063,579.6159707353504,cifar10,0.17310604453086853,pca,18.099322942893927,2.0550458431243896,1.1
