alpha,beta_lambda_proxy,beta_z_theory,in_search_window,lambda_between_top,lambda_class_proxy,routeability_proxy,sigma2,snr_proxy,t,v_z
0.30441388007418907,0.5340564565146853,28.864692518150775,0.0,12.778247833251953,0.018502066362870776,0.057043259749004364,0.9073321896181772,1.0681129130293705,1.1893670558929443,1.108620851577673
0.2931448068870425,0.4987993104088813,29.07167811419728,0.0,12.778247833251953,0.017157568560353952,0.0497601504128751,0.9140661221951586,0.9975986208177626,1.2270885705947876,1.1007276523322767
0.28229290262289747,0.46564931694632633,29.26629316146156,0.0,12.778247833251953,0.01591077197161076,0.04336585727451604,0.9203107171287394,0.9312986338926527,1.2648100852966309,1.0934080316716788
0.27184272413861094,0.4345091443875226,29.449109069440404,0.0,12.778247833251953,0.014754576899523813,0.037759639311275385,0.9261015333328991,0.8690182887750452,1.3025315999984741,1.0866203091083213
0.2617793999795262,0.4052821590298065,29.620693149636658,0.0,12.778247833251953,0.013682399563792042,0.03285072568557227,0.9314715457463593,0.8105643180596132,1.3402531147003174,1.0803258329689873
0.2520886092161824,0.37787301509380256,29.781605152488318,0.0,12.778247833251953,0.012688134610576236,0.028557603107216216,0.9364513331034509,0.7557460301876051,1.3779746294021606,1.0744887602986144
0.242756561064466,0.35218815401714765,29.932394336144,0.0,12.778247833251953,0.011766120346472684,0.024807299166001214,0.9410692520601542,0.7043763080342952,1.415696144104004,1.0690758527579374
0.2337699752602025,0.32813621996605735,30.073597027101922,0.0,12.778247833251953,0.010911106498844997,0.021534675770722548,0.9453515986668444,0.6562724399321147,1.4534176588058472,1.0640562873527244
0.22511606316025934,0.30562839871202585,30.205734630752353,0.0,12.778247833251953,0.010118224318930044,0.018681743619855407,0.9493227581072261,0.6112567974240518,1.4911391735076904,1.059401480916836
0.21678248370077846,0.2845786228266796,30.329312426731605,0.0,12.778247833251953,0.009382956620403242,0.016196998513985914,0.9530053547605217,0.5691572456533592,1.5288608074188232,1.0550849142163832
