beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,step,teacher_entropy_usage,usage_0,usage_1
80.0,80.0,80.0,0.013283858075737953,0.013283821754157543,0.013283858075737953,1.0,7000,1.0,0.5000001788139343,0.4999997913837433
80.0,80.0,80.0,0.013762876391410828,0.013762850314378738,0.013762876391410828,1.0,7500,1.0,0.5000001192092896,0.49999985098838806
80.0,80.0,80.0,0.012704309076070786,0.012704290449619293,0.012704309076070786,1.0,8000,1.0,0.5000001192092896,0.4999999403953552
80.0,80.0,80.0,0.012690220028162003,0.012690205127000809,0.012690220028162003,1.0,8500,1.0,0.5,0.5
80.0,80.0,80.0,0.014046857133507729,0.014046845026314259,0.014046858996152878,1.0,9000,1.0,0.49999988079071045,0.5000001192092896
80.0,80.0,80.0,0.013431800529360771,0.013431789353489876,0.013431799598038197,1.0,9500,1.0,0.5,0.5
80.0,80.0,80.0,0.012838222086429596,0.012838215567171574,0.012838222086429596,1.0,10000,1.0,0.5,0.5
80.0,80.0,80.0,0.014224600046873093,0.01422459352761507,0.014224599115550518,1.0,10500,1.0,0.49999991059303284,0.5000000596046448
80.0,80.0,80.0,0.01351891178637743,0.013518907129764557,0.01351891178637743,1.0,11000,1.0,0.4999999701976776,0.5
80.0,80.0,80.0,0.013947988860309124,0.013947984203696251,0.013947988860309124,1.0,11500,1.0,0.5000000596046448,0.4999999701976776
80.0,80.0,80.0,0.013444432988762856,0.013444431126117706,0.013444432988762856,1.0,12000,1.0,0.4999999701976776,0.5
80.0,80.0,80.0,0.012819472700357437,0.012819470837712288,0.012819472700357437,1.0,12500,1.0,0.4999999701976776,0.5
80.0,80.0,80.0,0.014955650083720684,0.01495564728975296,0.014955650083720684,1.0,13000,1.0,0.4999999701976776,0.5
80.0,80.0,80.0,0.014078671112656593,0.014078669250011444,0.014078671112656593,1.0,13500,1.0,0.5,0.5
80.0,80.0,80.0,0.013175674714148045,0.01317567192018032,0.01317567564547062,1.0,14000,1.0,0.4999999403953552,0.5
80.0,80.0,80.0,0.014110098592936993,0.014110095798969269,0.014110098592936993,1.0,14500,1.0,0.5,0.5
80.0,80.0,80.0,0.011435184627771378,0.011435184627771378,0.011435185559093952,1.0,15000,1.0,0.5,0.5
80.0,80.0,80.0,0.012988156639039516,0.012988154776394367,0.012988155707716942,1.0,15500,1.0,0.5,0.5
80.0,80.0,80.0,0.012250777333974838,0.012250777333974838,0.012250778265297413,1.0,16000,1.0,0.5,0.5
80.0,80.0,80.0,0.014118291437625885,0.014118289574980736,0.014118291437625885,1.0,16500,1.0,0.5,0.5
80.0,80.0,80.0,0.012615809217095375,0.012615809217095375,0.012615809217095375,1.0,17000,1.0,0.5,0.5
80.0,80.0,80.0,0.01219606027007103,0.012196059338748455,0.01219606027007103,1.0,17500,1.0,0.5,0.5
80.0,80.0,80.0,0.014025485143065453,0.014025483280420303,0.014025484211742878,1.0,18000,1.0,0.5,0.5
80.0,80.0,80.0,0.014509662985801697,0.014509662054479122,0.014509662985801697,1.0,18500,1.0,0.5,0.5
80.0,80.0,80.0,0.011465230025351048,0.011465229094028473,0.011465230956673622,1.0,19000,1.0,0.5,0.5
80.0,80.0,80.0,0.015362073667347431,0.015362072736024857,0.015362073667347431,1.0,19500,1.0,0.5,0.5
80.0,80.0,80.0,0.012942062690854073,0.012942062690854073,0.012942062690854073,1.0,20000,1.0,0.5,0.5
80.0,80.0,80.0,0.012228667736053467,0.012228665873408318,0.012228667736053467,1.0,20500,1.0,0.5,0.5
80.0,80.0,80.0,0.012389136478304863,0.012389135546982288,0.012389135546982288,1.0,21000,1.0,0.5,0.5
80.0,80.0,80.0,0.013457968831062317,0.013457968831062317,0.013457968831062317,1.0,21500,1.0,0.5,0.5
80.0,80.0,80.0,0.01383584551513195,0.01383584551513195,0.01383584551513195,1.0,22000,1.0,0.5,0.5
80.0,80.0,80.0,0.014351215213537216,0.014351215213537216,0.014351215213537216,1.0,22500,1.0,0.5,0.5
80.0,80.0,80.0,0.013204989023506641,0.013204988092184067,0.013204989023506641,1.0,23000,1.0,0.5,0.5
80.0,80.0,80.0,0.014148391783237457,0.014148391783237457,0.014148391783237457,1.0,23500,1.0,0.5,0.5
80.0,80.0,80.0,0.012190587818622589,0.012190587818622589,0.012190587818622589,1.0,24000,1.0,0.5,0.5
