A_cond_smax_over_smin,A_rank_eps1e-8,A_sval_0,A_sval_1,A_sval_max,A_sval_min,bayes_decision_entropy_t,beta_x,delta_A_mean_min_interexpert,n,oracle_usage_0,oracle_usage_1,posterior_acc,risk_margin_mean,risk_margin_p05,risk_usage_0,risk_usage_1,route_excess_p95,route_excess_vs_sample_oracle,t,teacher_entropy_norm,teacher_usage_0,teacher_usage_1,v_t
24392084.0,1.0,0.05847340449690819,2.397228637818216e-09,0.05847340449690819,2.397228637818216e-09,3.986313709680722e-11,80.0,9.313225884932663e-11,12288,0.6693522334098816,0.3306477963924408,0.1586100310087204,1.6143530956469476e-11,0.0,1.0,0.0,2.7939677238464355e-09,6.393369167412288e-10,1.3156522512435913,1.0,0.5,0.5,0.9433515071868896
17220180.0,1.0,0.04936414211988449,2.8666449214398426e-09,0.04936414211988449,2.8666449214398426e-09,0.180890753865242,80.0,3.7252903539730653e-10,12288,0.6476237177848816,0.3523763120174408,0.1392415463924408,4.1078845186559576e-11,0.0,0.97265625,0.02734375,2.7939677238464355e-09,6.11549921814003e-10,1.445217490196228,1.0,0.5,0.5,0.9562830924987793
15341523.0,1.0,0.04117043688893318,2.6835951238979305e-09,0.04117043688893318,2.6835951238979305e-09,0.5508307814598083,80.0,4.656612873077393e-10,12288,0.6487630009651184,0.3512369692325592,0.125732421875,8.468153955831781e-10,0.0,0.1276041716337204,0.8723958134651184,2.7939677238464355e-09,6.24604978849419e-10,1.5747824907302856,1.0,0.5,0.5,0.9662627577781677
15799130.0,1.0,0.0336402989923954,2.1292501095615535e-09,0.0336402989923954,2.1292501095615535e-09,0.7050801515579224,80.0,2.793967834868738e-10,12288,0.6410319209098816,0.3589681088924408,0.1144205778837204,7.575333138554186e-10,0.0,0.1917317658662796,0.8082682490348816,2.3283064365386963e-09,5.681026205017758e-10,1.7043477296829224,1.0,0.5,0.5,0.9739641547203064
31504250.0,1.0,0.027004972100257874,8.571850451666307e-10,0.027004972100257874,8.571850451666307e-10,0.1027437224984169,80.0,2.3283064365386963e-10,12288,0.628173828125,0.371826171875,0.1110026091337204,1.2543448051072215e-11,0.0,0.986572265625,0.013427734375,1.862645149230957e-09,4.4443501656665774e-10,1.833912968635559,1.0,0.5,0.5,0.9799076318740845
25590120.0,1.0,0.0217051412910223,8.481844115948434e-10,0.0217051412910223,8.481844115948434e-10,0.5058570504188538,80.0,3.2596289556430236e-10,12288,0.60302734375,0.39697265625,0.1062825545668602,7.018646774881176e-10,0.0,0.1119791641831398,0.8880208134651184,1.862645149230957e-09,4.135358722123783e-10,1.9634782075881958,1.0,0.5,0.5,0.9844942092895508
9861629.0,1.0,0.017194516956806183,1.7435778376651001e-09,0.017194516956806183,1.7435778376651001e-09,0.6262514591217041,80.0,1.8626451769865326e-10,12288,0.60498046875,0.39501953125,0.1043294295668602,4.127969077671878e-10,0.0,0.1566569060087204,0.8433430790901184,1.3969838619232178e-09,3.7272229747031815e-10,2.093043327331543,1.0,0.5,0.5,0.9880338311195374
10868837.0,1.0,0.013634874485433102,1.254492509872307e-09,0.013634874485433102,1.254492509872307e-09,0.15326803922653198,80.0,2.0954758761515535e-10,12288,0.593994140625,0.406005859375,0.1014811247587204,4.181781032563947e-10,2.3283064365386963e-10,0.02213541604578495,0.9778645634651184,1.3969838619232178e-09,3.169020601490047e-10,2.2226085662841797,1.0,0.5,0.5,0.9907654523849487
21411458.0,1.0,0.010692249052226543,4.993704338929206e-10,0.010692249052226543,4.993704338929206e-10,0.13184666633605957,80.0,1.1641532182693481e-10,12288,0.5879719853401184,0.4120279848575592,0.0999348983168602,5.089191290608142e-10,2.3283064365386963e-10,0.018310546875,0.981689453125,1.1641532182693481e-09,2.71957872888251e-10,2.3521738052368164,1.0,0.5,0.5,0.9928736090660095
23764832.0,1.0,0.008382312022149563,3.527191871910418e-10,0.008382312022149563,3.527191871910418e-10,0.3192234933376312,80.0,1.1641532182693481e-10,12288,0.5723469853401184,0.4276529848575592,0.0992024764418602,3.1751787310518864e-10,0.0,0.0579427070915699,0.9420573115348816,9.313225746154785e-10,2.408976906842497e-10,2.481739044189453,1.0,0.5,0.5,0.9945003986358643
17491820.0,1.0,0.006598553620278835,3.7723651979959527e-10,0.006598553620278835,3.7723651979959527e-10,0.18755462765693665,80.0,1.5133992670168794e-10,12288,0.5389811396598816,0.4610188901424408,0.0980631560087204,2.423614087199155e-10,1.1641532182693481e-10,0.02864583395421505,0.9713541865348816,8.149072527885437e-10,1.9477872092998894e-10,2.61130428314209,1.0,0.5,0.5,0.9957557320594788
20513260.0,1.0,0.005135716870427132,2.503608431680959e-10,0.005135716870427132,2.503608431680959e-10,0.04945163428783417,80.0,1.1059455434780929e-10,12288,0.5279948115348816,0.4720052182674408,0.0978190153837204,2.4367827200499903e-10,1.1641532182693481e-10,0.0055338540114462376,0.9944661259651184,6.984919309616089e-10,1.704639485122783e-10,2.7408695220947266,1.0,0.5,0.5,0.9967247247695923
15739530.0,1.0,0.004030818119645119,2.560952006014361e-10,0.004030818119645119,2.560952006014361e-10,0.1451892852783203,80.0,1.2223609624495424e-10,12288,0.50390625,0.49609375,0.0975748747587204,1.685217937419381e-10,1.1641532182693481e-10,0.02067057229578495,0.9793294072151184,6.402842700481415e-10,1.4517098634314607e-10,2.8704347610473633,1.0,0.5,0.5,0.9974722862243652
9024899.0,1.0,0.0032167979516088963,3.5643590856615504e-10,0.0032167979516088963,3.5643590856615504e-10,3.986313709680722e-11,80.0,1.3387761732541748e-10,12288,0.4398600161075592,0.5601399540901184,0.0973307341337204,3.0023272756807273e-10,1.7462298274040222e-10,0.0,1.0,5.238689482212067e-10,1.0342423445441895e-10,3.0,1.0,0.5,0.5,0.9980493783950806
