A_ck_rank,A_ck_s1,A_ck_s2,A_ck_std,bayes_risk_excess_mean,beta,beta_gap,beta_times_lambda_class,beta_times_lambda_free,beta_times_lambda_trans,cost_gap_mean,instability_class,instability_free,instability_trans,mean_expert_mse,oracle_best_mse,oracle_class_mi_norm,oracle_usage_entropy,posterior_acc,posterior_ce,rho,risk_margin_mean,risk_margin_p95,soft_oracle_mse,t,teacher_entropy_norm
3.0,0.021799221634864807,0.010996293276548386,0.0041366093792021275,0.0,285.97943649037506,2.077968120574951,1.0,1.2589677708375726,0.07843293794405388,0.007266145199537277,1.0,1.0,0.0,0.0304584838449955,0.02319233864545822,0.3448460183066383,0.9911719560623169,0.28564453125,2.0010502338409424,2.0,0.0018048888305202127,0.0051445746794342995,0.02443769946694374,1.8,0.5633311867713928
4.0,7.0558323628233666e-09,4.621630189660664e-09,1.543343342014225e-09,0.0,153.14704767327393,2.3499362669099355e-06,0.25,0.2942901425180519,0.017568028962520157,1.5344312487286516e-08,0.0,0.0,0.0,0.012525881640613079,0.01252586580812931,0.004540063508270699,0.9992468953132629,0.212890625,2.184248924255371,0.5,7.748894859105349e-10,1.862645149230957e-09,0.012525882571935654,2.2,1.0
2.0,0.00453582126647234,2.46504725964769e-07,0.0007263126317411661,0.0,306.29409534654786,0.23591160774230957,0.5,0.5885802850361038,0.035136057925040313,0.0007702127331867814,0.0,1.0,0.0,0.012771949172019958,0.012001737020909786,0.09801769361465404,0.864307165145874,0.212890625,2.184248924255371,1.0,5.5022195738274604e-05,0.0003776963276322931,0.012411006726324558,2.2,0.964119017124176
3.0,0.011788490228354931,0.004766089376062155,0.0021297794301062822,0.0,612.5881906930957,2.1336617469787598,1.0,1.1771605700722076,0.07027211585008063,0.003483027685433626,1.0,1.0,0.0,0.014765944331884384,0.01128291804343462,0.29260862801325127,0.9738964438438416,0.212890625,2.184248924255371,2.0,0.0005066576995886862,0.0013654824579134583,0.01186349242925644,2.2,0.5674883127212524
4.0,5.7660916041868404e-09,3.418119565168354e-09,1.1454966974966396e-09,0.0,346.9102937266187,5.363485797715839e-06,0.25,0.2895231364677139,0.015818396893921696,1.546072780911345e-08,0.0,0.0,0.0,0.005925875157117844,0.005925859324634075,0.00916990785288357,0.9995266795158386,0.1533203125,2.2716591358184814,0.5,2.4010660126805305e-10,9.313225746154785e-10,0.005925875157117844,2.6,1.0
2.0,0.0021408232860267162,1.2980572705600935e-07,0.0003428061318118125,0.0,693.8205874532374,0.2626555860042572,0.5,0.5790462729354278,0.03163679378784339,0.00037856411654502153,0.0,1.0,0.0,0.006054898723959923,0.0056763337925076485,0.07915600417015069,0.9235832095146179,0.1533203125,2.2716591358184814,1.0,7.791912139509805e-06,6.984919309616089e-08,0.005871771834790707,2.6,0.95926833152771
3.0,0.008487317711114883,0.0017424861434847116,0.0014086237642914057,0.0,1387.6411749064748,2.5352768898010254,1.0,1.1580925458708555,0.06327358757568678,0.0018270406872034073,1.0,1.0,0.0,0.007319256663322449,0.0054922159761190414,0.2190225658038208,0.9256232380867004,0.1533203125,2.2716591358184814,2.0,0.0001773266412783414,0.00044377241283655167,0.0057309772819280624,2.6,0.5417101383209229
4.0,4.560277933052248e-09,4.023243960205036e-09,1.061592924678223e-09,0.0,762.3988919126701,1.169844290416222e-05,0.25,0.284123845232024,0.013068658825406839,1.5344255643867655e-08,0.0,0.0,0.0,0.00278893718495965,0.002788921818137169,0.004965457815070301,0.9980074167251587,0.12548828125,2.3371686935424805,0.5,1.9122126104775816e-10,4.656612873077393e-10,0.00278893718495965,3.0,1.0
3.0,0.0008279378525912762,9.55441350924957e-07,0.00013257625687401742,0.0,1524.7977838253403,0.24756497144699097,0.5,0.568247690464048,0.026137317650813677,0.000162359225214459,0.0,1.0,0.0,0.0028540086932480335,0.002691649366170168,0.050147775770628594,0.8917460441589355,0.12548828125,2.3371686935424805,1.0,6.768815410396201e-07,5.279783863443299e-07,0.002779800444841385,3.0,0.963200569152832
3.0,0.0400412455201149,0.0015583924250677228,0.006416613236069679,0.0,3049.5955676506806,13.192813873291016,1.0,1.136495380928096,0.052274635301627355,0.004326086491346359,1.0,1.0,0.0,0.00701907416805625,0.0026929881423711777,0.11880015205701876,0.7152390480041504,0.12548828125,2.3371686935424805,2.0,2.5878138330881484e-05,4.744264515466057e-05,0.0027763554826378822,3.0,0.4342213273048401
